asset,resource,licenceCode,type,operation
http://w3id.org/polifonia/licences/51b49dee5ccab082685bb84e09d59685,Lakh MIDI dataset,CC-BY_v4,Can,CommercialUse
http://w3id.org/polifonia/licences/51b49dee5ccab082685bb84e09d59685,Lakh MIDI dataset,CC-BY_v4,Can,ModifiedWorks
http://w3id.org/polifonia/licences/51b49dee5ccab082685bb84e09d59685,Lakh MIDI dataset,CC-BY_v4,Can,derive
http://w3id.org/polifonia/licences/51b49dee5ccab082685bb84e09d59685,Lakh MIDI dataset,CC-BY_v4,Can,present
http://w3id.org/polifonia/licences/51b49dee5ccab082685bb84e09d59685,Lakh MIDI dataset,CC-BY_v4,Can,modify
http://w3id.org/polifonia/licences/51b49dee5ccab082685bb84e09d59685,Lakh MIDI dataset,CC-BY_v4,Can,reproduce
http://w3id.org/polifonia/licences/51b49dee5ccab082685bb84e09d59685,Lakh MIDI dataset,CC-BY_v4,Can,DerivativeWorks
http://w3id.org/polifonia/licences/51b49dee5ccab082685bb84e09d59685,Lakh MIDI dataset,CC-BY_v4,Can,distribute
http://w3id.org/polifonia/licences/51b49dee5ccab082685bb84e09d59685,Lakh MIDI dataset,CC-BY_v4,Can,chargeDistributionFee
http://w3id.org/polifonia/licences/51b49dee5ccab082685bb84e09d59685,Lakh MIDI dataset,CC-BY_v4,Can,display
http://w3id.org/polifonia/licences/51b49dee5ccab082685bb84e09d59685,Lakh MIDI dataset,CC-BY_v4,Cannot,ChangeLicense
http://w3id.org/polifonia/licences/51b49dee5ccab082685bb84e09d59685,Lakh MIDI dataset,CC-BY_v4,Cannot,promote
http://w3id.org/polifonia/licences/51b49dee5ccab082685bb84e09d59685,Lakh MIDI dataset,CC-BY_v4,Must,modificationNotice
http://w3id.org/polifonia/licences/51b49dee5ccab082685bb84e09d59685,Lakh MIDI dataset,CC-BY_v4,Must,Notice
http://w3id.org/polifonia/licences/51b49dee5ccab082685bb84e09d59685,Lakh MIDI dataset,CC-BY_v4,Must,Attribution
http://w3id.org/polifonia/licences/c17b91d1c8c1a5d76cb599f90cb50b34,DBpedia,Apache-2.0,Can,DerivativeWorks
http://w3id.org/polifonia/licences/c17b91d1c8c1a5d76cb599f90cb50b34,DBpedia,Apache-2.0,Can,CommercialUse
http://w3id.org/polifonia/licences/c17b91d1c8c1a5d76cb599f90cb50b34,DBpedia,Apache-2.0,Can,ChangeLicense
http://w3id.org/polifonia/licences/c17b91d1c8c1a5d76cb599f90cb50b34,DBpedia,Apache-2.0,Can,reproduce
http://w3id.org/polifonia/licences/c17b91d1c8c1a5d76cb599f90cb50b34,DBpedia,Apache-2.0,Can,chargeDistributionFee
http://w3id.org/polifonia/licences/c17b91d1c8c1a5d76cb599f90cb50b34,DBpedia,Apache-2.0,Can,ModifiedWorks
http://w3id.org/polifonia/licences/c17b91d1c8c1a5d76cb599f90cb50b34,DBpedia,Apache-2.0,Can,modify
http://w3id.org/polifonia/licences/c17b91d1c8c1a5d76cb599f90cb50b34,DBpedia,Apache-2.0,Can,present
http://w3id.org/polifonia/licences/c17b91d1c8c1a5d76cb599f90cb50b34,DBpedia,Apache-2.0,Can,distribute
http://w3id.org/polifonia/licences/c17b91d1c8c1a5d76cb599f90cb50b34,DBpedia,Apache-2.0,Can,derive
http://w3id.org/polifonia/licences/c17b91d1c8c1a5d76cb599f90cb50b34,DBpedia,Apache-2.0,Can,display
http://w3id.org/polifonia/licences/c17b91d1c8c1a5d76cb599f90cb50b34,DBpedia,Apache-2.0,Cannot,promote
http://w3id.org/polifonia/licences/c17b91d1c8c1a5d76cb599f90cb50b34,DBpedia,Apache-2.0,Must,compliantLicense
http://w3id.org/polifonia/licences/c17b91d1c8c1a5d76cb599f90cb50b34,DBpedia,Apache-2.0,Must,modificationNotice
http://w3id.org/polifonia/licences/c17b91d1c8c1a5d76cb599f90cb50b34,DBpedia,Apache-2.0,Must,Attribution
http://w3id.org/polifonia/licences/c17b91d1c8c1a5d76cb599f90cb50b34,DBpedia,Apache-2.0,Must,Notice
http://w3id.org/polifonia/licences/65cbc71bea12de8caa4a729006a3ac54,Listening Experience Database,CC-BY-NC-SA_v4,Can,derive
http://w3id.org/polifonia/licences/65cbc71bea12de8caa4a729006a3ac54,Listening Experience Database,CC-BY-NC-SA_v4,Can,ModifiedWorks
http://w3id.org/polifonia/licences/65cbc71bea12de8caa4a729006a3ac54,Listening Experience Database,CC-BY-NC-SA_v4,Can,modify
http://w3id.org/polifonia/licences/65cbc71bea12de8caa4a729006a3ac54,Listening Experience Database,CC-BY-NC-SA_v4,Can,reproduce
http://w3id.org/polifonia/licences/65cbc71bea12de8caa4a729006a3ac54,Listening Experience Database,CC-BY-NC-SA_v4,Can,display
http://w3id.org/polifonia/licences/65cbc71bea12de8caa4a729006a3ac54,Listening Experience Database,CC-BY-NC-SA_v4,Can,present
http://w3id.org/polifonia/licences/65cbc71bea12de8caa4a729006a3ac54,Listening Experience Database,CC-BY-NC-SA_v4,Can,DerivativeWorks
http://w3id.org/polifonia/licences/65cbc71bea12de8caa4a729006a3ac54,Listening Experience Database,CC-BY-NC-SA_v4,Can,distribute
http://w3id.org/polifonia/licences/65cbc71bea12de8caa4a729006a3ac54,Listening Experience Database,CC-BY-NC-SA_v4,Cannot,ChangeLicense
http://w3id.org/polifonia/licences/65cbc71bea12de8caa4a729006a3ac54,Listening Experience Database,CC-BY-NC-SA_v4,Cannot,promote
http://w3id.org/polifonia/licences/65cbc71bea12de8caa4a729006a3ac54,Listening Experience Database,CC-BY-NC-SA_v4,Cannot,CommercialUse
http://w3id.org/polifonia/licences/65cbc71bea12de8caa4a729006a3ac54,Listening Experience Database,CC-BY-NC-SA_v4,Must,modificationNotice
http://w3id.org/polifonia/licences/65cbc71bea12de8caa4a729006a3ac54,Listening Experience Database,CC-BY-NC-SA_v4,Must,Notice
http://w3id.org/polifonia/licences/65cbc71bea12de8caa4a729006a3ac54,Listening Experience Database,CC-BY-NC-SA_v4,Must,Attribution
http://w3id.org/polifonia/licences/e1875fc379c063c582658ef6a38414e8,Internet Archive.org,GNU_GPL_v3,Can,reproduce
http://w3id.org/polifonia/licences/e1875fc379c063c582658ef6a38414e8,Internet Archive.org,GNU_GPL_v3,Can,distribute
http://w3id.org/polifonia/licences/e1875fc379c063c582658ef6a38414e8,Internet Archive.org,GNU_GPL_v3,Can,display
http://w3id.org/polifonia/licences/e1875fc379c063c582658ef6a38414e8,Internet Archive.org,GNU_GPL_v3,Can,modify
http://w3id.org/polifonia/licences/e1875fc379c063c582658ef6a38414e8,Internet Archive.org,GNU_GPL_v3,Can,CommercialUse
http://w3id.org/polifonia/licences/e1875fc379c063c582658ef6a38414e8,Internet Archive.org,GNU_GPL_v3,Can,present
http://w3id.org/polifonia/licences/e1875fc379c063c582658ef6a38414e8,Internet Archive.org,GNU_GPL_v3,Can,ModifiedWorks
http://w3id.org/polifonia/licences/e1875fc379c063c582658ef6a38414e8,Internet Archive.org,GNU_GPL_v3,Can,derive
http://w3id.org/polifonia/licences/e1875fc379c063c582658ef6a38414e8,Internet Archive.org,GNU_GPL_v3,Can,DerivativeWorks
http://w3id.org/polifonia/licences/e1875fc379c063c582658ef6a38414e8,Internet Archive.org,GNU_GPL_v3,Cannot,ChangeLicense
http://w3id.org/polifonia/licences/e1875fc379c063c582658ef6a38414e8,Internet Archive.org,GNU_GPL_v3,Cannot,promote
http://w3id.org/polifonia/licences/e1875fc379c063c582658ef6a38414e8,Internet Archive.org,GNU_GPL_v3,Must,SourceCode
http://w3id.org/polifonia/licences/e1875fc379c063c582658ef6a38414e8,Internet Archive.org,GNU_GPL_v3,Must,Notice
http://w3id.org/polifonia/licences/e1875fc379c063c582658ef6a38414e8,Internet Archive.org,GNU_GPL_v3,Must,Attribution
http://w3id.org/polifonia/licences/e1875fc379c063c582658ef6a38414e8,Internet Archive.org,GNU_GPL_v3,Must,modificationNotice
http://w3id.org/polifonia/licences/1b6ddeb64d22500a3bf233c31b3898a2,The Lost Voices project,CC-BY-NC_v4,Can,modify
http://w3id.org/polifonia/licences/1b6ddeb64d22500a3bf233c31b3898a2,The Lost Voices project,CC-BY-NC_v4,Can,chargeDistributionFee
http://w3id.org/polifonia/licences/1b6ddeb64d22500a3bf233c31b3898a2,The Lost Voices project,CC-BY-NC_v4,Can,reproduce
http://w3id.org/polifonia/licences/1b6ddeb64d22500a3bf233c31b3898a2,The Lost Voices project,CC-BY-NC_v4,Can,present
http://w3id.org/polifonia/licences/1b6ddeb64d22500a3bf233c31b3898a2,The Lost Voices project,CC-BY-NC_v4,Can,display
http://w3id.org/polifonia/licences/1b6ddeb64d22500a3bf233c31b3898a2,The Lost Voices project,CC-BY-NC_v4,Can,DerivativeWorks
http://w3id.org/polifonia/licences/1b6ddeb64d22500a3bf233c31b3898a2,The Lost Voices project,CC-BY-NC_v4,Can,ModifiedWorks
http://w3id.org/polifonia/licences/1b6ddeb64d22500a3bf233c31b3898a2,The Lost Voices project,CC-BY-NC_v4,Can,derive
http://w3id.org/polifonia/licences/1b6ddeb64d22500a3bf233c31b3898a2,The Lost Voices project,CC-BY-NC_v4,Can,distribute
http://w3id.org/polifonia/licences/1b6ddeb64d22500a3bf233c31b3898a2,The Lost Voices project,CC-BY-NC_v4,Cannot,CommercialUse
http://w3id.org/polifonia/licences/1b6ddeb64d22500a3bf233c31b3898a2,The Lost Voices project,CC-BY-NC_v4,Cannot,promote
http://w3id.org/polifonia/licences/1b6ddeb64d22500a3bf233c31b3898a2,The Lost Voices project,CC-BY-NC_v4,Cannot,ChangeLicense
http://w3id.org/polifonia/licences/1b6ddeb64d22500a3bf233c31b3898a2,The Lost Voices project,CC-BY-NC_v4,Must,modificationNotice
http://w3id.org/polifonia/licences/1b6ddeb64d22500a3bf233c31b3898a2,The Lost Voices project,CC-BY-NC_v4,Must,Notice
